freq_hz,dbm_tx_on,dbm_tx_off
7.003218000000000000e+06,-4.365625000000000000e+01,-1.036875000000000000e+02
7.003460000000000000e+06,-4.365625000000000000e+01,-1.066875000000000000e+02
7.003702000000000000e+06,-4.518750000000000000e+01,-1.011875000000000000e+02
7.003945000000000000e+06,-4.765625000000000000e+01,-1.116873999999999967e+02
7.004187000000000000e+06,-4.615625000000000000e+01,-1.071875000000000000e+02
7.004429000000000000e+06,-4.415625000000000000e+01,-1.131875000000000000e+02
7.004671000000000000e+06,-5.265625000000000000e+01,-1.061875000000000000e+02
7.004913000000000000e+06,-5.115625000000000000e+01,-1.076873999999999967e+02
7.005156000000000000e+06,-5.518750000000000000e+01,-1.121875000000000000e+02
7.005398000000000000e+06,-5.765625000000000000e+01,-1.071875000000000000e+02
7.005640000000000000e+06,-5.665625000000000000e+01,-1.136875000000000000e+02
7.005882000000000000e+06,-6.215625000000000000e+01,-1.101875000000000000e+02
7.006125000000000000e+06,-6.615625000000000000e+01,-1.116873999999999967e+02
7.006367000000000000e+06,-6.965625000000000000e+01,-1.086875000000000000e+02
7.006609000000000000e+06,-7.465625000000000000e+01,-1.061875000000000000e+02
7.006851000000000000e+06,-7.915625000000000000e+01,-1.106875000000000000e+02
7.007093000000000000e+06,-8.215625000000000000e+01,-1.136875000000000000e+02
7.007336000000000000e+06,-8.865625000000000000e+01,-1.131875000000000000e+02
7.007578000000000000e+06,-9.468750000000000000e+01,-1.056875000000000000e+02
7.007820000000000000e+06,-8.665625000000000000e+01,-1.126875000000000000e+02
7.008062000000000000e+06,-9.015625000000000000e+01,-1.091875000000000000e+02
7.008304000000000000e+06,-9.465625000000000000e+01,-1.056875000000000000e+02
7.008547000000000000e+06,-8.865625000000000000e+01,-1.111875000000000000e+02
7.008789000000000000e+06,-9.068750000000000000e+01,-1.131875000000000000e+02
7.009031000000000000e+06,-9.565625000000000000e+01,-1.091875000000000000e+02
7.009273000000000000e+06,-9.165625000000000000e+01,-1.051875000000000000e+02
7.009516000000000000e+06,-9.468750000000000000e+01,-1.071875000000000000e+02
7.009758000000000000e+06,-9.568750000000000000e+01,-1.131875000000000000e+02
7.010000000000000000e+06,-9.115625000000000000e+01,-1.096875000000000000e+02
